ID,Type,Published,Visibility in catalog,Is featured ?,SKU,,,Categories,Name,Description,product_open_price,variant_name_override,variant_description_override,Regular price,,variant_supplier,variant_supplier_code,variant_cost_price,attribute_1_name,attribute_1_value,attribute_2_name,attribute_2_value,attribute_3_name,attribute_3_value,Tax status,Brands,Stock,In stock?
,simple,1,visible,0,skincare20,8.8882E+12,OOS Indefinitely,Skincare,2-in-1 Sunblock & Moisturiser for Kids 50ml,,FALSE,,,17.9,,3rd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare19,,,Skincare,2-in-1 Sunblock & Skincare 50ml,,FALSE,,,17.9,,3rd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare15,,,Skincare,Aha-Bha Serum 30ml,,FALSE,,,33.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement13,,,Supplement,Beauty Health 90s,,FALSE,,,62.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement15,,,Supplement,Bone Health 90s,,FALSE,,,57.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement01,,,Supplement,Carb Blocker 50 tablets,,FALSE,,,55.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement02,,,Supplement,Colon Shield 51 tablets,,FALSE,,,62.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement03,,,Supplement,Complete Multivitamin 52 tablets,,FALSE,,,35.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,supplement12,,,Supplement,Extra Stregth - Omega 3 Fish Oil 200s,,FALSE,,,55.9,,2nd Supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare12,,,Skincare,Eye Contour Serum 30ml,,FALSE,,,34.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare10,,,Skincare,Grounding Blend Oil 10ml,,FALSE,,,49.9,,1st supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare35,,,Skincare,Handmade Soap - Activated Charcoal 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare36,,,Skincare,Handmade Soap - Fresh Peppermint 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare21,,,Skincare,Handmade Soap - Hemp & Goats Milk 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
,simple,1,visible,,skincare22,,,Skincare,Handmade Soap - Honey & Goats Milk 100g,,FALSE,,,9.9,,4th supplier,,0,,,,,,,No Tax,,0,
